,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,
,,,North America,,"33,633,677","+3,024","761,890",+469,"23,389,486","+6,239","9,482,301","21,083",,,,,,North America,,,,,
,,,Asia,,"25,092,940","+19,244","399,365",+347,"23,594,231","+20,364","1,099,344","21,895",,,,,,Asia,,,,,
,,,South America,,"18,048,525",+757,"468,234",+17,"16,325,612",+620,"1,254,679","18,969",,,,,,South America,,,,,
,,,Europe,,"34,298,085","+46,775","817,196","+1,248","23,945,780","+41,622","9,535,109","25,841",,,,,,Europe,,,,,
,,,Africa,,"3,935,446","+1,238","104,205",+21,"3,494,990","+2,796","336,251","2,526",,,,,,Africa,,,,,
,,,Oceania,,"51,300",+15,"1,090",,"34,293",+7,"15,917",2,,,,,,Australia/Oceania,,,,,
,,,,,721,,15,,706,,0,0,,,,,,,,,,,
,,World,"115,060,694","+71,053","2,551,995","+2,102","90,785,098","+71,648","21,723,601","90,316","14,761",327.4,,,,All,,,,,
,74,Oman,"142,169",+361,"1,580 ",+3,"132,945",+260,"7,644",70,"27,382",304,"1,550,000","298,528","5,192,135 ",Asia,"373,2863",
,75,Myanmar,"141,916",,"3,199 ",,"131,487",,"7,230",,"2,597",59,"2,491,825","45,594","54,652,346 ",Asia,"38517,08422",
,76,Venezuela,"139,545",,"1,348 ",,"131,647",,"6,550",131,"4,917",47,"2,898,004","102,107","28,382,129 ",South America,"20321,05510",
,77,Libya,"134,967",+840,"2,216 ",+6,"122,079",+963,"10,672",,"19,467",320,"733,872","105,849","6,933,208 ",Africa,"513,1299",
,78,Bosnia and Herzegovina,"130,979",,"5,071 ",,"115,847",,"10,061",,"40,089","1,552","661,206","202,379","3,267,170 ",Europe,256445,
,79,Bahrain,"123,039",,452 ,,"115,895",,"6,692",62,"70,699",260,"3,107,719","1,785,726","1,740,311 ",Asia,"143,8501",
,80,Algeria,"113,255",,"2,987 ",,"78,234",,"32,034",21,"2,552",67,,,"44,374,506 ",Africa,"39214,856",
,81,Albania,"107,931",,"1,816 ",,"70,413",,"35,702",46,"37,532",631,"465,100","161,735","2,875,700 ",Europe,"271,5846",
,82,Kenya,"106,125",,"1,859 ",,"86,717",,"17,549",57,"1,945",34,"1,301,051","23,849","54,552,594 ",Africa,"51429,34542",
,83,North Macedonia,"103,020",,"3,144 ",,"91,507",,"8,369",124,"49,450","1,509","523,726","251,390","2,083,317 ",Europe,206634,
,84,S. Korea,"90,372",+344,"1,606 ",+1,"81,338",+268,"7,428",135,"1,762",31,"6,681,976","130,256","51,298,605 ",Asia,"56831,9428",
,85,Latvia,"86,458",,"1,621 ",,"75,255",,"9,582",74,"46,179",866,"1,503,899","803,270","1,872,222 ",Europe,"221,1551",
,86,Kyrgyzstan,"86,308",+57,"1,467 ",+1,"83,269",+59,"1,572",16,"13,086",222,"749,089","113,577","6,595,412 ",Asia,"764,4969",
,87,Ghana,"84,023",,607 ,,"77,972",,"5,444",132,"2,667",19,"902,813","28,660","31,501,063 ",Africa,"37551,89635",
,88,Sri Lanka,"83,552",,476 ,,"79,422",,"3,654",,"3,891",22,"2,122,696","98,854","21,473,023 ",Asia,"25745,11110",
,89,Uzbekistan,"79,961",+35,622 ,,"78,513",+17,826,27,"2,366",18,"1,377,915","40,778","33,790,474 ",Asia,"42354,32625",
,90,Zambia,"79,002",,"1,098 ",,"75,087",,"2,817",246,"4,220",59,"1,092,974","58,378","18,722,445 ",Africa,"23717,05117",
,91,Montenegro,"76,283",,"1,015 ",,"66,710",,"8,558",68,"121,447","1,616","281,114","447,549","628,119 ",Europe,86192,
,92,Norway,"71,735",,623 ,,"66,014",,"5,098",22,"13,164",114,"3,870,115","710,189","5,449,414 ",Europe,"768,7471",
,93,Estonia,"67,739","+1,113",605 ,+7,"50,351",+248,"16,783",44,"51,042",456,"946,144","712,925","1,327,130 ",Europe,"202,1941",
,94,Singapore,"59,956",+8,29 ,,"59,830",,97,1,"10,195",5,"7,290,760","1,239,731","5,880,920 ",Asia,"98202,7901",
,95,El Salvador,"59,866",,"1,869 ",+9,"55,312",,"2,685",43,"9,199",287,"761,858","117,065","6,507,985 ",North America,"1093,4829",
,96,Mozambique,"59,607",,653 ,,"41,413",,"17,541",,"1,873",21,"423,338","13,299","31,831,135 ",Africa,"53448,74675",
,97,Finland,"58,645",+581,750 ,,"46,000",,"11,895",39,"10,573",135,"3,367,970","607,229","5,546,457 ",Europe,"957,3952",
,98,Uruguay,"58,589",,611 ,,"50,624",,"7,354",76,"16,827",175,"1,023,312","293,908","3,481,748 ",South America,"595,6983",
,99,Afghanistan,"55,759",,"2,446 ",,"49,344",,"3,969","1,067","1,411",62,"299,513","7,581","39,506,499 ",Asia,"70916,151132",
,100,Luxembourg,"55,480",,639 ,,"52,019",,"2,822",20,"87,685","1,010","2,123,853","3,356,719","632,717 ",Europe,119900,
,101,Cuba,"50,590",,324 ,,"46,106",,"4,160",62,"4,468",29,"2,411,287","212,974","11,322,003 ",North America,"22434,9445",
,102,Uganda,"40,367",,334 ,,"14,989",,"25,044",,865,7,"881,407","18,878","46,688,793 ",Africa,"1,157139,78753",
,103,Namibia,"39,033",,428 ,,"36,335",,"2,270",22,"15,180",166,"304,421","118,391","2,571,324 ",Africa,"666,0088",
,104,Zimbabwe,"36,115",,"1,468 ",,"32,905",,"1,742",41,"2,407",98,"341,569","22,762","15,006,223 ",Africa,"41610,22244",
,105,Cameroon,"35,714",,551 ,,"32,594",,"2,569",53,"1,324",20,"149,000","5,522","26,981,052 ",Africa,"75548,967181",
,106,Cyprus,"35,009",,231 ,,"2,057",,"32,721",24,"28,857",190,"2,012,005","1,658,425","1,213,202 ",Asia,"355,2521",
,107,Senegal,"34,832",+100,888 ,+8,"29,402",+241,"4,542",49,"2,045",52,"391,971","23,011","17,034,286 ",Africa,"48919,18343",
,108,Ivory Coast,"32,791",,193 ,,"31,712",,886,,"1,223",7,"424,625","15,839","26,808,498 ",Africa,"818138,90463",
,109,Malawi,"32,008",,"1,048 ",,"19,513",,"11,447",4,"1,645",54,"198,742","10,215","19,455,337 ",Africa,"60818,56498",
,110,Botswana,"30,727",,332 ,,"24,884",,"5,511",1,"12,894",139,"815,362","342,161","2,382,980 ",Africa,"787,1783",
,111,Australia,"28,986",+11,909 ,,"26,180",+5,"1,897",,"1,128",35,"14,411,837","560,856","25,696,142 ",Australia/Oceania,"88728,2692",
,112,Sudan,"28,406",,"1,890 ",,"22,975",,"3,541",,638,42,,,"44,524,111 ",Africa,"1,56723,558",
,113,Thailand,"26,073",+42,84 ,+1,"25,420",+96,569,1,373,1,"1,217,873","17,419","69,916,675 ",Asia,"2,682832,34157",
,114,DRC,"26,050",+88,711 ,+4,"20,466","+1,515","4,873",,285,8,,,"91,349,093 ",Africa,"3,507128,480",
,115,Jamaica,"23,599",,425 ,,"13,502",,"9,672",22,"7,946",143,"213,859","72,012","2,969,771 ",North America,"1266,98814",
,116,Malta,"22,657",,316 ,,"19,663",,"2,678",18,"51,222",714,"702,110","1,587,313","442,326 ",Europe,"201,4001",
,117,Angola,"20,854",,508 ,,"19,400",,946,12,622,15,"190,449","5,679","33,537,239 ",Africa,"1,60866,018176",
,118,Maldives,"19,979",,62 ,,"17,343",,"2,574",162,"36,535",113,"527,850","965,275","546,839 ",Asia,"278,8201",
,119,Madagascar,"19,831",,297 ,,"19,296",,238,23,704,11,"119,608","4,247","28,159,641 ",Africa,"1,42094,814235",
,120,Rwanda,"18,986",,264 ,,"17,322",,"1,400",11,"1,442",20,"1,012,451","76,912","13,163,684 ",Africa,"69349,86213",
,121,French Polynesia,"18,414",,139 ,,"4,842",,"13,433",2,"65,301",493,"26,355","93,461","281,988 ",Australia/Oceania,"152,02911",
,122,Mayotte,"17,600",,110  ,,"2,964",,"14,526",23,"63,503",397,"130,738","471,719","277,152 ",Africa,"162,5202",
,123,Mauritania,"17,217",,441 ,,"16,583",,193,14,"3,640",93,"174,247","36,838","4,730,086 ",Africa,"27510,72627",
,124,Eswatini,"17,025",,652 ,,"14,800",,"1,573",36,"14,574",558,"151,618","129,795","1,168,137 ",Africa,"691,7928",
,125,French Guiana,"16,627",,85 ,,"9,995",,"6,547",6,"54,734",280,"149,894","493,433","303,778 ",South America,"183,5742",
,126,Guinea,"16,081",+76,91 ,+2,"14,994",+77,996,24,"1,203",7,"140,333","10,498","13,367,107 ",Africa,"831146,89195",
,127,Syria,"15,642",,"1,032 ",,"9,880",,"4,730",,880,58,,,"17,780,740 ",Asia,"1,13717,229",
,128,Cabo Verde,"15,432",,147 ,,"14,875",,410,23,"27,557",263,"122,430","218,627","559,994 ",Africa,"363,8095",
,129,Gabon,"14,849",,87 ,,"13,288",,"1,474",17,"6,569",38,"531,800","235,274","2,260,347 ",Africa,"15225,9814",
,130,Tajikistan,"13,308",,90 ,,"13,218",,0,,"1,375",9,,,"9,678,921 ",Asia,"727107,544",
